date,    message
2022-11-14 11:38:02.359515,    Start Creating Session
2022-11-14 11:38:10.896018,    Create Session Sucess
2022-11-14 11:40:02.203482,    Start Creating Session
2022-11-14 11:40:10.304252,    Create Session Sucess
2022-11-14 11:40:22.739504,    Done Reading File
2022-11-14 11:40:22.739667,    Data Is Ready To Use
2022-11-14 11:40:50.634133,    Start Creating Session
2022-11-14 11:40:59.014438,    Create Session Sucess
2022-11-14 11:41:12.918840,    Done Reading File
2022-11-14 11:41:12.919580,    Data Is Ready To Use
2022-11-14 11:41:57.437975,    Start Creating Session ...
2022-11-14 11:42:05.830920,    Create Session Sucess
2022-11-14 11:42:05.831478,    Start Reading File ...
2022-11-14 11:42:19.681609,    Done Reading File
2022-11-14 11:42:19.681741,    Data Is Ready To Use
2022-11-14 11:43:17.027946,    Start Creating Session ...
2022-11-14 11:43:25.042175,    Create Session Sucess
2022-11-14 11:43:25.042934,    Start Reading File ...
2022-11-14 11:43:38.513667,    Done Reading File
2022-11-14 11:43:38.513802,    Data Is Ready To Use
2022-11-16 09:08:42.840681,    Start Creating Session ...
2022-11-16 09:09:03.300071,    Create Session Sucess
2022-11-16 09:09:03.300604,    Start Reading File ...
2022-11-16 09:09:26.748525,    Done Reading File
2022-11-16 09:09:26.762964,    Data Is Ready To Use
2022-11-16 09:10:06.225685,    Start Creating Session ...
2022-11-16 09:10:14.703385,    Create Session Sucess
2022-11-16 09:10:14.704001,    Start Reading File ...
2022-11-16 09:10:28.487467,    Done Reading File
2022-11-16 09:10:28.487588,    Data Is Ready To Use
2022-11-16 09:12:49.710734,    Start Creating Session ...
2022-11-16 09:13:08.812957,    Create Session Sucess
2022-11-16 09:13:08.834096,    Start Reading File ...
2022-11-16 09:13:27.527091,    Done Reading File
2022-11-16 09:13:27.527214,    Data Is Ready To Use
2022-11-16 09:16:22.239893,    Start Creating Session ...
2022-11-16 09:16:30.741681,    Create Session Sucess
2022-11-16 09:16:30.742220,    Start Reading File ...
2022-11-16 09:16:45.086962,    Done Reading File
2022-11-16 09:16:45.087085,    Data Is Ready To Use
2022-11-16 09:16:45.087168,    Start Fast EDA
2022-11-16 09:17:18.347927,    Finish Fast EDA
2022-11-16 09:17:18.348078,    Start check & Drop Duplicates
2022-11-16 09:17:49.454715,    Finish check & Drop Duplicates
2022-11-16 09:23:55.871562,    Start Creating Session ...
2022-11-16 09:25:36.736374,    Start Creating Session ...
2022-11-16 09:26:10.588260,    Start Creating Session ...
2022-11-16 09:32:31.433106,    Start Creating Session ...
2022-11-16 09:32:42.537003,    Create Session Sucess
2022-11-16 09:32:42.537458,    Start Reading File ...
2022-11-16 09:32:53.381500,    Done Reading File
2022-11-16 09:32:53.421967,    Finish Reading...
2022-11-16 09:32:53.422081,    Data Is Ready To Use
2022-11-16 09:32:53.422163,    Start Fast EDA
2022-11-16 09:34:02.631360,    Finish Fast EDA
2022-11-16 09:34:02.631492,    Start check & Drop Duplicates
2022-11-16 09:34:56.465123,    Finish check & Drop Duplicates
2022-11-16 11:23:51.564205,    Start Creating Session ...
2022-11-16 11:31:32.595516,    Start Creating Session ...
2022-11-16 11:31:40.633357,    Create Session Sucess
2022-11-16 11:31:40.633964,    Start Reading File ...
2022-11-16 11:32:02.769675,    Done Reading File
2022-11-16 11:32:02.794124,    Finish Reading...
2022-11-16 11:32:02.794231,    Data Is Ready To Use
2022-11-16 11:32:02.794322,    Start Fast EDA
2022-11-16 11:32:44.869528,    Finish Fast EDA
2022-11-16 11:32:44.904786,    Start check & Drop Duplicates
2022-11-16 11:33:21.310397,    Finish check and NO Duplicates Found
